手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,x0_AMOLED,x0_LCD,x0_LTPS,x0_LTPS LCD,x0_OLED,x0_Optic AMOLED,x0_Super AMOLED,x0_TFT LCD,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,x0_Micro USB,x0_Type-C,x0_USB-C,充电功率,x0_全网通,x0_No,x0_Yes,无线充电,target
15.0,0.9798367305536086,-0.1294587835835633,-0.3290757585695953,1.0822506690041538,0.2532542841616624,0.38160434776216234,-0.5719924289064693,-0.10553472127336012,0.09945317391150632,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.5757623856675392,8,-0.32339894743077774,25.0,9.0,1.307058336753398,0.55305954472634,-0.32538520904358254,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,-0.36527040018124635,0
10.0,0.020653353219471576,0.0499435504228431,0.028519673534920114,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,-0.6171155531281673,0.08201942738185866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.7471742946497917,8,0.5885970656125489,22.0,15.0,1.307058336753398,0.55305954472634,1.4653452352600513,-0.9111940841437514,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,-0.36527040018124635,1
13.0,0.8225935539414551,-0.3686618955921052,-0.5334160054864612,0.06405845081332996,-0.5780804312385779,0.38160434776216234,-0.5719924289064693,-0.31869340121286316,-0.14461927750354542,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.6031882911046991,8,-0.32339894743077774,25.0,15.0,1.307058336753398,0.55305954472634,1.4653452352600513,-0.03753827096619836,0.0,1.0,0.0,-0.25942071651742526,1.0,1.0,0.0,-0.36527040018124635,1
12.0,0.17789652983162518,-0.1892595615856988,-0.3290757585695953,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,-0.31869340121286316,-0.14461927750354542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.5689059093082486,8,-0.32339894743077774,24.0,15.0,1.307058336753398,0.55305954472634,1.4653452352600513,-0.03753827096619836,0.0,1.0,0.0,-0.25942071651742526,1.0,1.0,0.0,-0.36527040018124635,0
11.0,0.020653353219471576,-0.3686618955921052,-0.43124588202802827,0.06405845081332996,0.2532542841616624,0.38160434776216234,-0.5719924289064693,-0.31869340121286316,0.09945317391150632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0,-0.8640976497833806,8,-0.5168526471672404,24.0,15.0,1.307058336753398,-0.5917375114933199,0.5699800131082344,-0.03753827096619836,0.0,1.0,0.0,-1.0185782396595033,1.0,1.0,0.0,-0.36527040018124635,0
9.0,-0.46155905505779954,-0.727466563604918,-0.7377562524033272,-0.9541337673774938,-0.5780804312385779,0.38160434776216234,-0.5719924289064693,-7.097139423289059,-0.33639048932965576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,8.0,-0.8915235552205414,8,-0.5168526471672404,24.0,13.0,0.15287232008811652,-0.5917375114933199,1.4653452352600513,-1.1907639443605684,0.0,1.0,0.0,-0.41125222114584087,1.0,1.0,0.0,-0.36527040018124635,0
24.0,0.020653353219471576,-0.48826345159637613,-0.6355861289448942,0.06405845081332996,-0.5780804312385779,0.38160434776216234,-0.5719924289064693,-1.086064648995074,-0.23178801015177752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,8.0,-0.8709541261426713,8,-0.5168526471672404,24.0,13.0,0.15287232008811652,-0.5917375114933199,-1.2207504311953994,-1.085925246779262,1.0,0.0,0.0,-1.0185782396595033,1.0,1.0,0.0,-0.36527040018124635,0
17.0,0.5028657614967427,-0.6377653966017148,-0.4823309437572447,-0.9541337673774938,0.2532542841616624,0.38160434776216234,-0.5719924289064693,0.4827832353596687,0.4306943579747886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,-0.8709541261426713,8,-0.5168526471672404,24.0,15.0,0.15287232008811652,0.55305954472634,-0.32538520904358254,-0.03753827096619836,0.0,1.0,0.0,-1.0185782396595033,1.0,1.0,0.0,-0.36527040018124635,1
16.0,0.6601089381088963,-0.7872673416070535,-0.7888413141325437,-0.9541337673774938,-0.5780804312385779,-0.7708407824795682,-0.5719924289064693,-0.40395687318866436,0.08201942738185866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,-0.8709541261426713,8,-0.5168526471672404,24.0,15.0,-1.001313696577165,0.55305954472634,-1.2207504311953994,-0.03753827096619836,1.0,0.0,0.0,-1.0185782396595033,1.0,1.0,0.0,-0.36527040018124635,0
18.0,0.8225935539414551,-0.5779646185995794,-0.43124588202802827,0.06405845081332996,0.2532542841616624,-0.7708407824795682,-0.5719924289064693,-0.9581694410313722,-0.07488429138495944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,8.0,-0.8709541261426713,8,-0.5168526471672404,24.0,15.0,0.15287232008811652,0.55305954472634,-0.32538520904358254,-0.03753827096619836,0.0,1.0,0.0,-1.0185782396595033,1.0,1.0,0.0,-0.36527040018124635,0
