手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,x0_AMOLED,x0_LCD,x0_LTPS,x0_LTPS LCD,x0_OLED,x0_Optic AMOLED,x0_Super AMOLED,x0_TFT LCD,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,x0_Micro USB,x0_Type-C,x0_USB-C,充电功率,x0_全网通,x0_No,x0_Yes,无线充电,target
23.0,-1.2468599445000625,-0.8375487129152486,-0.8077250333071904,-0.8688506423248472,-0.5244693671296191,-0.7640879033691272,-0.6008843442798769,1.1368057531728468,1.5039697437172097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,37.0,-0.7884644641401574,8,-1.2870519608984672,14.0,12.0,-0.8792628435918821,-0.9991457092780568,-1.3122689196984203,1.8426455197101157,1.0,0.0,0.0,-0.4015804384524945,1.0,1.0,0.0,-0.4120528248680633,0
131.0,1.64919746304935,0.004333399089035348,-0.07970207925038517,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,0.20255440438583022,0.29204001416290193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,12.0,1.1570081248855426,8,-0.06405959299641394,26.0,33.0,1.4574082749947637,1.3956007110507467,-0.3730623070305263,0.0014994900653810654,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,-0.4120528248680633,0
128.0,0.523540113034706,-0.41660765691310664,-0.5817868751516302,0.2013526885387744,-0.5244693671296191,0.45468334640362246,-0.6008843442798769,-0.6382718095224846,-0.17709407469683053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,10.0,0.6032406463613739,8,-0.33252133229198627,25.0,31.0,0.2890727157014407,0.5973519042744788,1.5053509183052618,-0.45878701734580263,0.0,1.0,0.0,-0.2379957093723521,1.0,1.0,0.0,-0.4120528248680633,1
126.0,0.03734069424903824,-0.05580103748269922,-0.18011903843063418,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,-0.544846674643783,-0.17709407469683053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,14.0,0.6833912024635559,8,0.6518383784584474,21.0,30.0,1.4574082749947637,0.5973519042744788,1.5053509183052618,-0.45878701734580263,0.0,1.0,0.0,-0.033514798022174046,1.0,1.0,0.0,-0.4120528248680633,1
130.0,0.6820834017691629,-0.777414276343514,-0.4813699159713812,-0.8688506423248472,0.360287652202086,-0.7640879033691272,-0.6008843442798769,-0.6616280932421601,-0.09890505988687512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,-0.9341927479623071,8,-0.5413249072996534,19.0,16.0,0.2890727157014407,0.5973519042744788,-0.3730623070305263,0.0014994900653810654,0.0,1.0,0.0,-0.2379957093723521,1.0,1.0,0.0,-0.4120528248680633,1
127.0,0.03734069424903824,-0.05580103748269922,-0.07970207925038517,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,-0.1711461351289764,-0.17709407469683053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,14.0,0.6032406463613739,8,0.6518383784584474,21.0,30.0,1.4574082749947637,0.5973519042744788,1.5053509183052618,0.0014994900653810654,0.0,1.0,0.0,-0.033514798022174046,1.0,1.0,0.0,-0.4120528248680633,1
129.0,-0.28503065951102413,-0.777414276343514,-0.5315783955615057,0.2013526885387744,-0.5244693671296191,2.892225845949122,0.445773907484847,-1.0119723490372912,-0.27483034320927435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,9.0,-0.9341927479623071,8,-0.5413249072996534,19.0,16.0,-0.8792628435918821,-0.6000213058899229,1.5053509183052618,-1.1031881277214597,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
124.0,-1.7330593632857305,-0.3564732203413721,-0.3312465619969089,0.2013526885387744,0.360287652202086,-0.7640879033691272,-0.6008843442798769,-1.5258105908701503,-0.9980787302013614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,13.0,-0.2128377430426652,8,-0.06405959299641394,27.0,11.0,-0.8792628435918821,-0.9991457092780568,0.5661443056373677,-1.1031881277214597,0.0,1.0,0.0,-0.033514798022174046,1.0,1.0,0.0,-0.4120528248680633,1
125.0,-1.0830318794744571,-0.904297937509874,-0.5817868751516302,-0.8688506423248472,-0.5244693671296191,-0.7640879033691272,-0.6008843442798769,-1.1053974839159928,-0.27483034320927435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,7.0,-0.9341927479623071,8,-0.5413249072996534,19.0,14.0,-0.8792628435918821,-1.148817360548607,0.5661443056373677,-1.1031881277214597,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
136.0,-1.8916026520201874,-0.8381500572809659,-0.8579335128973149,-0.8688506423248472,-1.4092263864613241,-0.7640879033691272,-0.6008843442798769,-1.5725231583095012,-0.9980787302013614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,6.0,-1.4223824987665081,8,-0.06405959299641394,30.0,10.0,-0.8792628435918821,-1.148817360548607,-0.3730623070305263,-1.8396465395793535,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
141.0,0.8459114667947685,0.3651400185194428,0.2717572778804863,0.2013526885387744,0.360287652202086,0.45468334640362246,-0.6008843442798769,1.2769434554908992,0.4288707900803243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,16.0,1.6160522189253144,8,1.4273945142012123,29.0,32.0,0.2890727157014407,0.19822750088634494,1.5053509183052618,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,-0.4120528248680633,0
142.0,0.8459114667947685,0.7259466379498501,0.5730081554212333,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,0.9499554834154434,0.4288707900803243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,17.0,1.7034891892186044,8,1.4273945142012123,29.0,32.0,0.2890727157014407,0.19822750088634494,1.5053509183052618,0.18561409302985454,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,3.8282864612987653,0
140.0,-0.9244885907400003,-0.11593547405443379,-0.02949359966026066,0.2013526885387744,0.360287652202086,0.45468334640362246,0.445773907484847,-0.26457127000767805,0.09656747713801427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,14.0,0.6833912024635559,8,0.6518383784584474,21.0,29.0,-0.8792628435918821,0.5973519042744788,0.6835451322208544,0.0014994900653810654,0.0,1.0,0.0,-0.033514798022174046,1.0,1.0,0.0,-0.4120528248680633,1
145.0,-2.055430717045793,-1.0780864592021868,-1.1340801506429996,-1.9390539731884688,-2.2939834057930293,-1.6781663406986895,-1.5167103145740104,-2.0396488327030093,-1.7604216245984252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,-2.602781597725922,4,-2.629360657376331,31.0,10.0,-2.047598402885205,-1.148817360548607,-1.6644713994488805,-1.802823618986459,1.0,0.0,0.0,-1.4648811774734205,1.0,1.0,0.0,-0.4120528248680633,0
146.0,-2.21397400578025,-1.1081536774880543,-1.1340801506429996,-1.9390539731884688,-1.8516048961271767,-1.373473528255502,-1.38587803310342,-1.6659482931882028,-1.2717402820362045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,31.0,-1.8814265928062808,8,-2.9276514788158563,11.0,10.0,-0.8792628435918821,-1.148817360548607,-1.3122689196984203,-1.8396465395793535,1.0,0.0,0.0,-1.4648811774734205,1.0,1.0,0.0,-0.4120528248680633,0
147.0,-2.3778020708058554,-1.0179520226304524,-0.9939984925865523,-1.403952307756658,-1.4092263864613241,-1.373473528255502,-1.1242134701622388,-1.0119723490372912,-0.7048699246640282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.0,-1.575397196779766,8,-1.734488193057755,12.0,10.0,-0.8792628435918821,-1.148817360548607,-1.3122689196984203,-1.8396465395793535,1.0,0.0,0.0,-1.4648811774734205,1.0,1.0,0.0,-0.4120528248680633,1
148.0,-0.7606605257143948,-0.9578175860587177,-0.9332462322825017,-1.403952307756658,-1.8516048961271767,-1.373473528255502,-1.1242134701622388,-1.6659482931882028,-0.5133068383796396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,28.0,-2.602781597725922,8,-0.24303408586012926,17.0,14.0,-2.047598402885205,-1.148817360548607,-1.3122689196984203,-1.802823618986459,1.0,0.0,0.0,-1.4648811774734205,1.0,1.0,0.0,-0.4120528248680633,0
