手机型号,上市时间,最低价格,最高价格,评价数,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
OPPO A9,201904,1399,1699,47269,4,6,128,128,190,6.53,TFT LCD,2340x1080,MTK P70,80.9,8,2.1,IMG GE8320,ColorOS 6,3,1600,1600,4020,Micro USB,10,全网通,No,0
OPPO A91,201912,1999,1999,8395,8,8,128,128,172,6.4,AMOLED,2400x1080,MTK MT6771V,63.3,8,2.1,Mali G72 MP3,ColorOS 6.1.2,4,4800,1600,4025,Type-C,18,全网通,No,0
OPPO A8,201912,1199,1399,24197,4,6,128,128,180,6.5,TFT LCD,1600x720,MT6765V,63.3,8,2.3,IMG GE8320,ColorOS 6.1.2,3,1200,800,4230,Micro USB,18,全网通,No,0
OPPO A11,201910,1199,1599,63762,4,6,64,256,195,6.5,TFT LCD,1600x720,骁龙665,82.6,8,2,Adreno 610,ColorOS 6,4,1200,800,5000,Micro USB,10,全网通,No,0
OPPO A11x,201909,1599,1599,30991,8,8,128,128,195,6.5,TFT LCD,1600x720,骁龙665,82.6,8,2,Adreno 610,ColorOS 6,4,4800,1600,5000,Micro USB,10,全网通,No,0
OPPO A5,201807,899,1199,251978,3,4,32,64,168,6.2,TFT LCD,1520*720,骁龙450,69.3,8,1.8,Adreno 506,ColorOS 5.1,2,1300,800,4230,Micro USB,10,全网通,No,0
OPPO K5,201910,1699,2499,203754,6,8,128,256,182,6.4,AMOLED,2340x1080,骁龙730,93.6,8,2.2,Adreno 618,ColorOS 6.1,4,6400,3200,4000,Type-C,30,全网通,No,0
OPPO K3,201905,1399,2299,372185,6,8,64,256,191,6.5,AMOLED,2340x1080,骁龙710,84.1,8,2.2,Adreno 616,ColorOS 6,2,1600,1600,3765,Type-C,18,全网通,No,0
OPPO K1,201810,1099,1599,563842,4,6,64,64,156,6.4,OLED,2340x1080,骁龙660,80.1,8,1.95,Adreno512,ColorOS 5.2,2,1600,2500,3600,Micro USB,10,全网通,No,0
vivo iQOO Pro,201908,2898,2998,164721,8,12,128,128,215,6.41,Super AMOLED,2340x1080,骁龙855+,104,8,2.96,Adreno 640,iQOO Monster UI,3,4800,1600,4500,Type-C,45,全网通,No,0
